Battalion,Station Area,year,month,value,Division
Battalion 01,Station Area 02,2010,3,316,Division 02
Battalion 01,Station Area 02,2010,4,393,Division 02
Battalion 01,Station Area 02,2010,5,345,Division 02
Battalion 01,Station Area 02,2010,6,344,Division 02
Battalion 01,Station Area 02,2010,7,373,Division 02
Battalion 01,Station Area 02,2010,8,400,Division 02
Battalion 01,Station Area 02,2010,9,345,Division 02
Battalion 01,Station Area 02,2010,10,355,Division 02
Battalion 01,Station Area 02,2010,11,395,Division 02
Battalion 01,Station Area 02,2010,12,431,Division 02
Battalion 01,Station Area 02,2011,1,401,Division 02
Battalion 01,Station Area 02,2011,2,359,Division 02
Battalion 01,Station Area 02,2011,3,373,Division 02
Battalion 01,Station Area 02,2011,4,413,Division 02
Battalion 01,Station Area 02,2011,5,377,Division 02
Battalion 01,Station Area 02,2011,6,418,Division 02
Battalion 01,Station Area 02,2011,7,410,Division 02
Battalion 01,Station Area 02,2011,8,369,Division 02
Battalion 01,Station Area 02,2011,9,321,Division 02
Battalion 01,Station Area 02,2011,10,403,Division 02
Battalion 01,Station Area 02,2011,11,313,Division 02
Battalion 01,Station Area 02,2011,12,422,Division 02
Battalion 01,Station Area 02,2012,1,394,Division 02
Battalion 01,Station Area 02,2012,2,374,Division 02
Battalion 01,Station Area 02,2012,3,436,Division 02
Battalion 01,Station Area 02,2012,4,407,Division 02
Battalion 01,Station Area 02,2012,5,345,Division 02
Battalion 01,Station Area 02,2012,6,364,Division 02
Battalion 01,Station Area 02,2012,7,403,Division 02
Battalion 01,Station Area 02,2012,8,434,Division 02
Battalion 01,Station Area 02,2012,9,388,Division 02
Battalion 01,Station Area 02,2012,10,344,Division 02
Battalion 01,Station Area 02,2012,11,321,Division 02
Battalion 01,Station Area 02,2012,12,381,Division 02
Battalion 01,Station Area 02,2013,1,546,Division 02
Battalion 01,Station Area 02,2013,2,377,Division 02
Battalion 01,Station Area 02,2013,3,486,Division 02
Battalion 01,Station Area 02,2013,4,382,Division 02
Battalion 01,Station Area 02,2013,5,393,Division 02
Battalion 01,Station Area 02,2013,6,377,Division 02
Battalion 01,Station Area 02,2013,7,319,Division 02
Battalion 01,Station Area 02,2013,8,318,Division 02
Battalion 01,Station Area 02,2013,9,356,Division 02
Battalion 01,Station Area 02,2013,10,456,Division 02
Battalion 01,Station Area 02,2013,11,399,Division 02
Battalion 01,Station Area 02,2013,12,487,Division 02
Battalion 01,Station Area 02,2014,1,466,Division 02
Battalion 01,Station Area 02,2014,2,399,Division 02
Battalion 01,Station Area 02,2014,3,442,Division 02
Battalion 01,Station Area 02,2014,4,417,Division 02
Battalion 01,Station Area 02,2014,5,401,Division 02
Battalion 01,Station Area 02,2014,6,374,Division 02
Battalion 01,Station Area 02,2014,7,398,Division 02
Battalion 01,Station Area 02,2014,8,392,Division 02
Battalion 01,Station Area 02,2014,9,382,Division 02
Battalion 01,Station Area 02,2014,10,413,Division 02
Battalion 01,Station Area 02,2014,11,397,Division 02
Battalion 01,Station Area 02,2014,12,501,Division 02
Battalion 01,Station Area 02,2015,1,442,Division 02
Battalion 01,Station Area 02,2015,2,378,Division 02
Battalion 01,Station Area 02,2015,3,371,Division 02
Battalion 01,Station Area 02,2015,4,394,Division 02
Battalion 01,Station Area 02,2015,5,475,Division 02
Battalion 01,Station Area 02,2015,6,447,Division 02
Battalion 01,Station Area 02,2015,7,451,Division 02
Battalion 01,Station Area 02,2015,8,416,Division 02
Battalion 01,Station Area 02,2015,9,417,Division 02
Battalion 01,Station Area 02,2015,10,473,Division 02
Battalion 01,Station Area 02,2015,11,389,Division 02
Battalion 01,Station Area 02,2015,12,458,Division 02
Battalion 01,Station Area 02,2016,1,489,Division 02
Battalion 01,Station Area 02,2016,2,422,Division 02
Battalion 01,Station Area 02,2016,3,422,Division 02
Battalion 01,Station Area 02,2016,4,375,Division 02
Battalion 01,Station Area 02,2016,5,400,Division 02
Battalion 01,Station Area 02,2016,6,372,Division 02
Battalion 01,Station Area 02,2016,7,379,Division 02
Battalion 01,Station Area 02,2016,8,438,Division 02
Battalion 01,Station Area 02,2016,9,467,Division 02
Battalion 01,Station Area 02,2016,10,476,Division 02
Battalion 01,Station Area 02,2016,11,467,Division 02
Battalion 01,Station Area 02,2016,12,561,Division 02
Battalion 01,Station Area 02,2017,1,576,Division 02
Battalion 01,Station Area 02,2017,2,384,Division 02
Battalion 01,Station Area 02,2017,3,481,Division 02
Battalion 01,Station Area 02,2017,4,420,Division 02
Battalion 01,Station Area 02,2017,5,589,Division 02
Battalion 01,Station Area 02,2017,6,488,Division 02
Battalion 01,Station Area 02,2017,7,516,Division 02
Battalion 01,Station Area 02,2017,8,500,Division 02
Battalion 01,Station Area 02,2017,9,548,Division 02
Battalion 01,Station Area 02,2017,10,449,Division 02
Battalion 01,Station Area 02,2017,11,564,Division 02
Battalion 01,Station Area 02,2017,12,588,Division 02
Battalion 01,Station Area 02,2018,1,646,Division 02
Battalion 01,Station Area 02,2018,2,592,Division 02
